site_id,site_name,commissioned_date,province,district,latitude,longitude,array_size_kwp,panel_type,notes,created_at,updated_at
KD035,KD0035R8,05.06.20,Kandal,,,,2.61,435W JKM-435M,PO: PON2020301281 | Project: Solar 2020-Phase 1 | Grid: Grid | Power: Grid+Solar | Avg Load: 4.9 kW,31.10.25 03:26,31.10.25 03:26
KD203,KD0203P,04.09.21,Kandal,,,,4.72,590W 78MH590W,PO: PON2021300935 | Project: Solar 2021-500 sites | Grid: Grid | Power: Grid+Solar | Avg Load: 3.6 kW,31.10.25 03:26,31.10.25 03:26
KD065,KD0065P,02.06.20,Kandal,,,,2.61,435W JKM-435M,PO: PON2020301281 | Project: Solar 2020-Phase 1 | Grid: Grid | Power: Grid+Solar | Avg Load: 5.1 kW,31.10.25 03:26,31.10.25 03:26
KD153,KD0153P,22.01.20,Kandal,,,,2.61,435W JKM-435M,Project: Solar 2020-Phase 0 | Grid: Grid | Power: Grid+Solar | Avg Load: 10.1 kW,31.10.25 03:26,31.10.25 03:26
PP715,PP0715,30.05.20,Phnom Penh,,,,2.61,435W JKM-435M,PO: PON2020301281 | Project: Solar 2020-Phase 1 | Grid: Grid | Power: Grid+Solar | Avg Load: 4.7 kW,31.10.25 03:26,31.10.25 03:26
KD222,KD0222P,27.06.21,Kandal,,,,4.72,590W 78MH590W,PO: PON2021300935 | Project: Solar 2021-500 sites | Grid: Grid | Power: Grid+Solar | Avg Load: 5.5 kW,31.10.25 03:26,31.10.25 03:26
KD099,KD0099P,22.05.20,Kandal,,,,3.48,435W JKM-435M,PO: PON2020301281 | Project: Solar 2020-Phase 1 | Grid: Grid | Power: Grid+Solar | Avg Load: 8.0 kW,31.10.25 03:26,31.10.25 03:26
KD212,KD0212P,03.06.20,Kandal,,,,2.61,435W JKM-435M,PO: PON2020301281 | Project: Solar 2020-Phase 1 | Grid: Grid | Power: Grid+Solar | Avg Load: 4.3 kW,31.10.25 03:26,31.10.25 03:26
KD121,KD0121P,14.09.24,Kandal,,,,4.2,700W NB-700W,PO: PON2024300476 | Project: Solar 2024-150 sites | Grid: Grid | Power: Grid+Solar | Avg Load: 6.9 kW,31.10.25 03:26,31.10.25 03:26
KD085,KD0085P,28.06.20,Kandal,,,,4.35,435W JKM-435M,PO: PON2020301281 | Project: Solar 2020-Phase 1 | Grid: Grid | Power: Grid+Solar | Avg Load: 9.6 kW,31.10.25 03:26,31.10.25 03:26
PP815,PP0815,02.06.20,Phnom Penh,,,,3.48,435W JKM-435M,PO: PON2020301281 | Project: Solar 2020-Phase 1 | Grid: Grid | Power: Grid+Solar | Avg Load: 3.2 kW,31.10.25 03:26,31.10.25 03:26
